Local_SKU,Myntra_SKU,SKU_ID,Category,Nykaa_SKU
BP10K12_Green_COD-3XL,BNWMCOORD111462618,111462618,Co-Ords,BANIW00006623
BP10K12_Green_COD-4XL,BNWMCOORD111462619,111462619,Co-Ords,BANIW00006624
BP10K12_Green_COD-5XL,BNWMCOORD111462620,111462620,Co-Ords,BANIW00006625
BP10K12_Green_COD-6XL,BNWMCOORD111462621,111462621,Co-Ords,BANIW00006626
BP10K12_Pink_COD-3XL,BNWMCOORD111462606,111462606,Co-Ords,BANIW00006627
BP10K12_Pink_COD-4XL,BNWMCOORD111462608,111462608,Co-Ords,BANIW00006628
BP10K12_Pink_COD-5XL,BNWMCOORD111462609,111462609,Co-Ords,BANIW00006629
BP10K12_Pink_COD-6XL,BNWMCOORD111462612,111462612,Co-Ords,BANIW00006630
BP10K14_Blue_COD-3XL,BNWMCOORD111462635,111462635,Co-Ords,BANIW00006631
BP10K14_Blue_COD-4XL,BNWMCOORD111462636,111462636,Co-Ords,BANIW00006632
BP10K14_Blue_COD-5XL,BNWMCOORD111462637,111462637,Co-Ords,BANIW00006633
BP10K14_Blue_COD-6XL,BNWMCOORD111462638,111462638,Co-Ords,BANIW00006634
BP10K14_PPL_COD-3XL,BNWMCOORD111462596,111462596,Co-Ords,BANIW00006635
BP10K14_PPL_COD-4XL,BNWMCOORD111462597,111462597,Co-Ords,BANIW00006636
BP10K14_PPL_COD-5XL,BNWMCOORD111462598,111462598,Co-Ords,BANIW00006637
BP10K14_PPL_COD-6XL,BNWMCOORD111462599,111462599,Co-Ords,BANIW00006638
BP10K16_Green_COD-3XL,BNWMCOORD111462622,111462622,Co-Ords,BANIW00006639
BP10K16_Green_COD-4XL,BNWMCOORD111462623,111462623,Co-Ords,BANIW00006640
BP10K16_Green_COD-5XL,BNWMCOORD111462624,111462624,Co-Ords,BANIW00006641
BP10K16_Green_COD-6XL,BNWMCOORD111462625,111462625,Co-Ords,BANIW00006642
BP10K16_Pink_COD-3XL,BNWMCOORD111462631,111462631,Co-Ords,BANIW00006643
BP10K16_Pink_COD-4XL,BNWMCOORD111462632,111462632,Co-Ords,BANIW00006644
BP10K16_Pink_COD-5XL,BNWMCOORD111462633,111462633,Co-Ords,BANIW00006645
BP10K16_Pink_COD-6XL,BNWMCOORD111462634,111462634,Co-Ords,BANIW00006646
BP10K18_PPL_COD-3XL,BNWMCOORD111476461,111476461,Co-Ords,BANIW00006647
BP10K18_PPL_COD-4XL,BNWMCOORD111476462,111476462,Co-Ords,BANIW00006648
