Local SKU Code,Myntra SKU ID,SKU ID
BL4019AQUA_SKD-3XL,BNWMKASS55579656,55579656
BP10K12_Green_COD-3XL,BNWMCOORD111462618,111462618
BP10K12_Green_COD-4XL,BNWMCOORD111462619,111462619
BP10K12_Green_COD-5XL,BNWMCOORD111462620,111462620
BP10K12_Green_COD-6XL,BNWMCOORD111462621,111462621
BP10K12_Pink_COD-3XL,BNWMCOORD111462606,111462606
BP10K12_Pink_COD-4XL,BNWMCOORD111462608,111462608
BP10K12_Pink_COD-5XL,BNWMCOORD111462609,111462609
BP10K12_Pink_COD-6XL,BNWMCOORD111462612,111462612
BP10K14_Blue_COD-3XL,BNWMCOORD111462635,111462635
BP10K14_Blue_COD-4XL,BNWMCOORD111462636,111462636
BP10K14_Blue_COD-5XL,BNWMCOORD111462637,111462637
BP10K14_Blue_COD-6XL,BNWMCOORD111462638,111462638
BP10K14_PPL_COD-3XL,BNWMCOORD111462596,111462596
BP10K14_PPL_COD-4XL,BNWMCOORD111462597,111462597
BP10K14_PPL_COD-5XL,BNWMCOORD111462598,111462598
BP10K14_PPL_COD-6XL,BNWMCOORD111462599,111462599
BP10K16_Green_COD-3XL,BNWMCOORD111462622,111462622
BP10K16_Green_COD-4XL,BNWMCOORD111462623,111462623
BP10K16_Green_COD-5XL,BNWMCOORD111462624,111462624
BP10K16_Green_COD-6XL,BNWMCOORD111462625,111462625
BP10K16_Pink_COD-3XL,BNWMCOORD111462631,111462631
BP10K16_Pink_COD-4XL,BNWMCOORD111462632,111462632
BP10K16_Pink_COD-5XL,BNWMCOORD111462633,111462633
BP10K16_Pink_COD-6XL,BNWMCOORD111462634,111462634
BP10K18_PPL_COD-3XL,BNWMCOORD111476461,111476461
BP10K18_PPL_COD-4XL,BNWMCOORD111476462,111476462
BP10K18_PPL_COD-5XL,BNWMCOORD111476463,111476463
BP10K18_PPL_COD-6XL,BNWMCOORD111476464,111476464
BP10K18_Yellow_COD-3XL,BNWMCOORD111462614,111462614
BP10K18_Yellow_COD-4XL,BNWMCOORD111462615,111462615
BP10K18_Yellow_COD-5XL,BNWMCOORD111462616,111462616
BP10K18_Yellow_COD-6XL,BNWMCOORD111462617,111462617
BP10K20_Blue_COD-4XL,BNWMCOORD111462627,111462627
BP10K20_Blue_COD-5XL,BNWMCOORD111462628,111462628
BP10K20_Blue_COD-6XL,BNWMCOORD111462629,111462629
BP10K6_Mustard_COD-3XL,BNWMCOORD111462639,111462639
BP10K6_Mustard_COD-5XL,BNWMCOORD111462641,111462641
BP10K6_Mustard_COD-6XL,BNWMCOORD111462642,111462642
BP10K7_Blue_COD-3XL,BNWMCOORD111462601,111462601
BP10K7_Blue_COD-4XL,BNWMCOORD111462602,111462602
BP10K7_Blue_COD-5XL,BNWMCOORD111462603,111462603
BP10K7_Blue_COD-6XL,BNWMCOORD111462604,111462604
BP6041PINK_SKD-3XL,BNWMKASS75271712,75271712
BP6041PINK_SKD-4XL,BNWMKASS75271714,75271714
BP6041TEAL_SKD-3XL,BNWMKASS75271720,75271720
BP6065GRN_COD-5XL,BNWMCOORD76291354,76291354
BP6082GRN_DRS-3XL,BNWMDRSS75275692,75275692
BP6082GRN_DRS-4XL,BNWMDRSS75275698,75275698
BP6082GRN_DRS-5XL,BNWMDRSS75275700,75275700
BP6082GRN_DRS-6XL,BNWMDRSS75275702,75275702
BP6082MUST_DRS-3XL,BNWMDRSS75275680,75275680
BP6082MUST_DRS-4XL,BNWMDRSS75275682,75275682
BP6082MUST_DRS-5XL,BNWMDRSS75275684,75275684
BP6082MUST_DRS-6XL,BNWMDRSS75275686,75275686
BP6083BLUE_DRS-3XL,BNWMDRSS96343358,96343358
